ID_Number,Birth_Location_X,Birth_Location_Y,Birth_Location_Z,Current_Location_X,Current_Location_Y,Current_Location_Z,Current_Vector_X,Current_Vector_Y,Current_Vector_Z,Target,Sky Exposure
0,26.36751,0.04999949,-2.129276,26.36751,0.04999949,-2.129276,-3.280811,0,-0.7168174,No Target Assigned,82.95046
1,25.8572,0.04999949,-3.131067,25.8572,0.04999949,-3.131067,-3.304749,0,-0.6790113,No Target Assigned,83.40049
2,24.9712,0.04999949,-2.405525,24.9712,0.04999949,-2.405525,-3.366432,0,-0.5567265,No Target Assigned,79.10023
3,22.14227,0.04999949,-2.805018,22.14227,0.04999949,-2.805018,-3.463726,0,-0.3709531,No Target Assigned,58.2494
4,18.97275,0.04999949,-2.931322,18.97275,0.04999949,-2.931322,-3.48341,0,0.02893925,No Target Assigned,55.89943
5,16.15891,0.04999949,-2.894752,16.15891,0.04999949,-2.894752,-3.498993,0,0.08404016,No Target Assigned,53.44947
6,20.87234,0.04999949,-2.942324,20.87234,0.04999949,-2.942324,-3.471165,0,-0.4483747,No Target Assigned,51.94949
7,-8.558987,0.04999949,1.125947,-8.558987,0.04999949,1.125947,-3.477526,0,0.3960085,No Target Assigned,6.500007
8,-7.380744,0.04999949,1.08838,-7.380744,0.04999949,1.08838,-3.38479,0,0.3412116,No Target Assigned,6.000005
9,-5.448956,0.04999949,1.135423,-5.448956,0.04999949,1.135423,-3.37501,0,0.6067288,No Target Assigned,6.300006
10,-3.89029,0.04999949,0.9855477,-3.89029,0.04999949,0.9855477,-3.037388,0,0.5936044,No Target Assigned,5.550003
11,-6.40544,0.04999949,0.734769,-6.40544,0.04999949,0.734769,-3.328629,0,0.6040925,No Target Assigned,4.65
12,-4.714262,0.04999949,0.3032609,-4.714262,0.04999949,0.3032609,-3.13643,0,0.7938732,No Target Assigned,5.250002

